               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12296,              0.0284,            0.056956,            0.020573,            0.042074,           0.0059092,           0.0017969,             0.12061,            0.020595,            0.058338,             0.00039,             0.00039,             0.09649
                   1,             0.11611,            0.031897,            0.055755,            0.028953,            0.034733,           0.0085522,           0.0023725,             0.10914,            0.024151,            0.055206,           0.0007893,           0.0007893,            0.092889
                   2,             0.10619,            0.037796,            0.053396,            0.081706,            0.042272,            0.034448,            0.011198,             0.10083,            0.026061,            0.052094,           0.0011858,           0.0011858,            0.089286
                   3,             0.09645,            0.043678,            0.050675,            0.066184,              0.1717,            0.062972,            0.021757,            0.091616,            0.027685,            0.048777,           0.0015773,           0.0015773,            0.085677
                   4,            0.089282,            0.044566,            0.047569,             0.11436,             0.14353,            0.098685,            0.037622,            0.085346,             0.02756,            0.045646,           0.0019619,           0.0019619,            0.082062
                   5,            0.083196,            0.044002,            0.044709,             0.11091,             0.39717,             0.12326,            0.055666,            0.078268,            0.027079,            0.042419,           0.0023374,           0.0023374,            0.078437
                   6,            0.077825,            0.040142,            0.041893,             0.13204,             0.29037,             0.13097,            0.047967,            0.074556,            0.026377,            0.040574,           0.0027018,           0.0027018,            0.074802
                   7,            0.073357,            0.038815,            0.040617,             0.23493,             0.31628,             0.22096,            0.083204,            0.071712,            0.025043,             0.03834,           0.0030534,           0.0030534,            0.071153
                   8,            0.071541,            0.037728,             0.03818,             0.18673,             0.36214,             0.22789,            0.090347,            0.068717,             0.02413,            0.036336,           0.0033902,           0.0033902,             0.06749
                   9,             0.07191,             0.03862,            0.036046,             0.48148,             0.25045,             0.24681,            0.078769,            0.066678,            0.023541,             0.03447,           0.0037105,           0.0037105,             0.06381
                  10,            0.069432,            0.036861,            0.034131,             0.30766,             0.25253,             0.27207,            0.095601,            0.071782,            0.021886,            0.032859,           0.0040127,           0.0040127,            0.060113
                  11,             0.07285,            0.036648,            0.033264,             0.48025,             0.33267,             0.30532,             0.10677,            0.067147,            0.021707,            0.030494,           0.0042953,           0.0042953,            0.056395
                  12,            0.067839,            0.034603,            0.031965,             0.35965,             0.49496,             0.34446,              0.1257,            0.065942,            0.021464,            0.028149,            0.004557,            0.004557,            0.052657
                  13,            0.068811,            0.033639,            0.029901,             0.42621,             0.46119,             0.35801,             0.13603,            0.070554,            0.021106,            0.025624,           0.0047965,           0.0047965,            0.048896
                  14,            0.068862,            0.032448,            0.027034,             0.49697,             0.42121,             0.37188,              0.1185,            0.067059,            0.021243,            0.023615,           0.0050127,           0.0050127,            0.045113
                  15,            0.067053,            0.030921,            0.025091,             0.47794,             0.42858,             0.39364,             0.13125,            0.065259,            0.021666,            0.022199,           0.0052047,           0.0052047,            0.041305
                  16,            0.068676,            0.032785,            0.024652,             0.34895,             0.48655,             0.35492,             0.11794,            0.066493,            0.021348,            0.020637,           0.0053717,           0.0053717,            0.037472
                  17,             0.06746,            0.031513,            0.022642,              0.3418,             0.56219,             0.43377,              0.1241,            0.068048,            0.021117,            0.019135,           0.0055132,           0.0055132,            0.033613
                  18,            0.069772,            0.030874,            0.022954,             0.54164,             0.39335,             0.34695,             0.12449,            0.064949,             0.02143,            0.019177,           0.0056287,           0.0056287,            0.029729
                  19,            0.064674,            0.032033,            0.022256,             0.31547,             0.69745,             0.43113,             0.13757,            0.068413,            0.021029,            0.017551,           0.0057181,           0.0057181,            0.025818
                  20,            0.067718,            0.028583,            0.020081,             0.34616,              0.4317,             0.32799,             0.12872,            0.072185,            0.019843,            0.017399,           0.0057812,           0.0057812,            0.021881
                  21,            0.066713,            0.028699,            0.020368,             0.35781,             0.71601,              0.4242,             0.11399,            0.068297,            0.020777,            0.015306,           0.0058182,           0.0058182,            0.017918
                  22,            0.066199,            0.031446,            0.018753,             0.44601,             0.66953,             0.53815,             0.20561,            0.062785,             0.02116,             0.01437,           0.0058294,           0.0058294,            0.013929
                  23,            0.066571,            0.032475,            0.018564,             0.49678,             0.69859,             0.57099,             0.18098,            0.065331,            0.020732,            0.014352,           0.0058154,           0.0058154,           0.0099154
                  24,            0.065296,            0.028681,             0.01877,             0.33049,             0.77836,             0.53038,             0.20076,            0.061864,            0.020754,            0.016195,           0.0057768,           0.0057768,           0.0058768
                  25,            0.062482,            0.029135,            0.018324,             0.47365,              0.5592,             0.51147,             0.18805,            0.059776,              0.0202,            0.015556,              0.0055,              0.0055,              0.0055
                  26,            0.056817,            0.029974,            0.016805,             0.46887,             0.73068,             0.56505,             0.24996,            0.057184,            0.020798,            0.014566,              0.0055,              0.0055,              0.0055
                  27,            0.061547,            0.028291,            0.016075,             0.72911,             0.52471,             0.63573,             0.25155,            0.056793,            0.020398,            0.013892,           0.0052174,           0.0052174,           0.0052174
                  28,            0.055058,            0.028897,            0.015218,             0.63103,              0.6525,             0.62498,             0.26942,            0.055359,             0.02064,             0.01279,            0.004936,            0.004936,            0.004936
                  29,            0.059588,            0.029748,            0.014975,             0.65934,             0.58381,             0.58419,             0.23347,            0.057083,            0.021182,            0.012383,           0.0046568,           0.0046568,           0.0046568
                  30,            0.054835,            0.030816,            0.015021,             0.61436,             0.66057,             0.59615,             0.25932,            0.055586,            0.021954,            0.012316,           0.0043809,           0.0043809,           0.0043809
                  31,             0.05601,            0.026837,            0.014237,             0.61165,             0.69909,             0.66255,             0.28104,            0.051364,            0.021239,            0.012537,           0.0041094,           0.0041094,           0.0041094
                  32,            0.047224,            0.029952,            0.015893,             0.58217,              0.7393,             0.67372,             0.30797,            0.047269,            0.021192,            0.012553,           0.0038434,           0.0038434,           0.0038434
                  33,            0.048224,            0.031245,            0.014473,             0.54083,             0.79129,             0.67529,              0.3084,            0.049932,            0.021372,            0.012543,            0.003584,            0.003584,            0.003584
                  34,            0.044205,            0.028085,            0.014376,             0.67598,             0.74739,             0.74024,             0.37605,            0.047062,            0.020631,            0.010879,           0.0033321,           0.0033321,           0.0033321
                  35,            0.047432,            0.030108,             0.01329,             0.66929,             0.72502,             0.75312,             0.29485,            0.046063,            0.020184,            0.010814,           0.0030888,           0.0030888,           0.0030888
                  36,            0.042563,            0.028877,            0.013869,             0.71411,             0.73055,             0.76922,             0.38501,            0.043597,            0.020304,            0.010354,            0.002855,            0.002855,            0.002855
                  37,            0.041787,            0.024553,            0.011611,             0.65191,             0.81552,             0.75961,              0.3719,            0.044396,            0.020118,            0.010025,           0.0026316,           0.0026316,           0.0026316
                  38,            0.041252,            0.029754,            0.013764,             0.63173,             0.81721,             0.74854,             0.40546,            0.042271,            0.020473,           0.0095984,           0.0024195,           0.0024195,           0.0024195
                  39,            0.041296,            0.027221,            0.011378,              0.6637,             0.75561,             0.73747,             0.42099,            0.041816,            0.020623,           0.0093973,           0.0022196,           0.0022196,           0.0022196
