               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  40,            0.040343,            0.028391,            0.011972,             0.70968,             0.63451,             0.72678,             0.38592,            0.042658,            0.020994,           0.0089136,           0.0020327,           0.0020327,           0.0020327
                  41,            0.040384,            0.024651,            0.013097,             0.68124,              0.7632,             0.73726,             0.42203,            0.041393,            0.021228,           0.0085692,           0.0018594,           0.0018594,           0.0018594
                  42,            0.038379,             0.02858,            0.011451,             0.70212,             0.67455,             0.71327,             0.40032,            0.041225,            0.020837,            0.008843,           0.0017005,           0.0017005,           0.0017005
                  43,            0.038146,             0.02772,            0.012638,             0.73474,             0.63932,             0.71868,              0.4067,            0.040736,            0.020763,             0.00944,           0.0015566,           0.0015566,           0.0015566
                  44,             0.03742,            0.026626,            0.011335,             0.75177,              0.6526,             0.70652,             0.39951,            0.040553,            0.020656,           0.0094486,           0.0014283,           0.0014283,           0.0014283
                  45,            0.036427,             0.02849,            0.011745,              0.6976,             0.73336,             0.73135,             0.42043,            0.039885,            0.020483,           0.0093496,            0.001316,            0.001316,            0.001316
                  46,            0.035842,            0.026436,            0.010705,             0.71619,             0.73202,             0.73278,             0.40732,            0.040343,            0.020844,            0.008767,           0.0012202,           0.0012202,           0.0012202
                  47,            0.036205,            0.028578,            0.010024,             0.69582,             0.73444,             0.73266,             0.40981,            0.040455,             0.02118,           0.0082723,           0.0011414,           0.0011414,           0.0011414
                  48,            0.035563,            0.024508,            0.011248,             0.73623,             0.66565,             0.71791,             0.41079,            0.039818,            0.021263,           0.0082776,           0.0010797,           0.0010797,           0.0010797
                  49,            0.035356,            0.024805,            0.010806,             0.72136,             0.68662,             0.72791,             0.42062,            0.040033,            0.021105,           0.0080919,           0.0010355,           0.0010355,           0.0010355
