               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.041018,            0.017306,                   0,              0.9369,             0.81081,             0.89349,              0.5085,            0.043662,           0.0082258,                   0,           0.0019888,           0.0019888,            0.012389
                  39,            0.041437,            0.019155,                   0,               0.861,             0.83708,             0.81228,             0.45267,            0.040076,           0.0081352,                   0,            0.001868,            0.001868,            0.009968
                  40,            0.041873,            0.016851,                   0,             0.88562,             0.83711,             0.88423,             0.49702,            0.045704,           0.0078373,                   0,           0.0017516,           0.0017516,           0.0075516
                  41,            0.042771,            0.018775,                   0,             0.91421,             0.86406,             0.86409,             0.47331,            0.038794,           0.0078845,                   0,            0.001641,            0.001641,            0.005141
                  42,              0.0388,            0.017188,                   0,             0.76846,             0.81081,             0.80434,             0.44461,            0.042961,           0.0075788,                   0,           0.0015379,           0.0015379,           0.0027379
                  43,            0.042139,            0.015842,                   0,             0.74384,             0.86486,             0.75465,             0.39704,            0.037682,           0.0075264,                   0,           0.0014283,           0.0014283,           0.0014283
                  44,            0.040638,            0.015362,                   0,             0.69047,             0.78376,             0.70866,             0.26067,            0.049843,           0.0073258,                   0,           0.0014283,           0.0014283,           0.0014283
                  45,            0.047338,            0.016012,                   0,             0.84188,             0.86345,              0.8599,             0.46979,            0.040687,           0.0073692,                   0,            0.001316,            0.001316,            0.001316
                  46,            0.039173,             0.01636,                   0,             0.81074,             0.81046,             0.82904,             0.54543,            0.038033,           0.0074308,                   0,           0.0012202,           0.0012202,           0.0012202
                  47,             0.03865,            0.014612,                   0,             0.80551,             0.78357,             0.81398,             0.40643,             0.04119,           0.0074008,                   0,           0.0011414,           0.0011414,           0.0011414
                  48,            0.037414,            0.015707,                   0,              0.9088,             0.81081,             0.87669,             0.47792,             0.03855,           0.0074784,                   0,           0.0010797,           0.0010797,           0.0010797
                  49,             0.03463,            0.016101,                   0,             0.96731,             0.81081,             0.89085,              0.5623,            0.035995,           0.0074091,                   0,           0.0010355,           0.0010355,           0.0010355
